N_boletim,data_hora_boletim,seq_veic,cod_categ,descricao_categoria,cod_especie,descricao_especie,cod_situacao,desc_situacao,tipo_socorro,desc_tipo_socorro
2022-027057336-001,24/06/2022 09:52,1,4,ALUGUEL,8,ONIBUS,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027057483-001,24/06/2022 10:52,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,2,VIATURA PMMG
2022-027057483-001,24/06/2022 10:52,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027062185-001,24/06/2022 11:02,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-027062185-001,24/06/2022 11:02,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027068505-001,24/06/2022 11:39,1,3,PARTICULAR,4,MOTOCICLETA,2,PARADO,5,DISPENSOU ATENDIMEN
2022-027068505-001,24/06/2022 11:39,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027073746-001,24/06/2022 11:56,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027073746-001,24/06/2022 11:56,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-027078500-001,24/06/2022 13:14,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027078500-001,24/06/2022 13:14,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-027080397-001,23/06/2022 16:40,1,3,PARTICULAR,6,AUTOMOVEL,3,ESTACIONADO,6,NÃO SE APLICA
2022-027080397-001,23/06/2022 16:40,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-027083585-001,07/06/2022 08:04,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-027083585-001,07/06/2022 08:04,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027083858-001,24/06/2022 12:45,2,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027083858-001,24/06/2022 12:45,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-027089489-001,24/06/2022 14:22,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-027089489-001,24/06/2022 14:22,1,3,PARTICULAR,6,AUTOMOVEL,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027090323-001,23/06/2022 15:00,1,3,PARTICULAR,13,CAMINHAO,2,PARADO,6,NÃO SE APLICA
2022-027090323-001,23/06/2022 15:00,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,3,AMBULANCIA
2022-027093593-001,22/06/2022 23:40,1,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,5,DISPENSOU ATENDIMEN
2022-027093593-001,22/06/2022 23:40,2,3,PARTICULAR,4,MOTOCICLETA,1,EM MOVIMENTO,6,NÃO SE APLICA
2022-027096991-001,24/06/2022 14:43,1,3,PARTICULAR,26,CAMINHONETE,1,EM MOVIMENTO,6,NÃO SE APLICA
